Source;Target
Automobile;Transportation
B&C;Buildings & Construction
Electronics;Electrical/Electronics
Household;Consumer & Institutional
Machinery;Industrial Machinery
Packaging;Packaging
Agriculture;Others
Medical;Others
Other sectors;Others
/;/
