Source;Target
PP;PP
PS;PS
PVC;PVC
ABS;ABS_ASA_SAN
SAN;ABS_ASA_SAN
PUR;PUR
Styrene-butadiene rubber (SBR);Elastomers (tyres)
LDPE;LDPE
HDPE;HDPE
PET;PET
