Source;Target
Automotive-tyres;Transportation
Automotive-other;Transportation
Textile;Textile sector
Houshold, Leisure, Sport;Consumer & Institutional
Electronics;Electrical/Electronics
Construction;Buildings & Construction
Packaging;Packaging
Others;Others
General;General
