Source,Target
Transportation - Tyres,Transportation
Transportation - Other,Transportation
Textile sector - clothing,Textile sector
Textile sector - others,Textile sector
Consumer & Institutional Products,Household & Leisure & Sports
Personal care products,Household & Leisure & Sports
Electrical/Electronic,Electrical/Electronics
Road marking,Others
Industrial/Machinery,Others
Marine coatings,Others
Building and Construction,Buildings & Construction
Packaging,Packaging
Other,Others
