Source,Target
Packaging (%),Packaging
Building & Construction (%),Buildings & Construction
Automotive (%),Transportation
Electrical & Electronics (%),Electrical/Electronics
Household & Leisure & Sports (%),Household & Leisure & Sports
Agriculture (%),Others
Others (%),Textile sector
Others (%),Others
