Source;Target
HDPE;HDPE
LDPE;LDPE
LLDPE;LDPE
PP;PP
PS;PS
EPS;PS
PVC;PVC
PET;PET
PU;PUR
PA6;PA
PA66;PA
ABS;Other thermoplastics
PC;Other thermoplastics
PMMA;Other thermoplastics
POM;Other thermoplastics
PPO;Other thermoplastics
PBT;Other thermoplastics
EPO;Other thermosets
PF;Other thermosets
UPR;Other thermosets
