Source,Target
Packaging,Packaging
Transportation,Transportation
Building and Construction,Buildings & Construction
Electrical/ Electronic,Electrical/Electronics
Consumer & Institutional Products,Consumer & Institutional
Industrial Machinery,Industrial Machinery
Other,Others
Textiles,Textile sector
