X,CountryCode,PottingerReg,PottingerRegionName
Panama,PAN,row,Majority World (MW)
Papua New Guinea,PNG,row,Majority World (MW)
Paraguay,PRY,row,Majority World (MW)
Peru,PER,row,Majority World (MW)
Philippines,PHL,row,Majority World (MW)
Pitcairn,PCN,row,Majority World (MW)
Poland,POL,eu30,Europe (EU30)
Portugal,PRT,eu30,Europe (EU30)
Puerto Rico,PRI,row,Majority World (MW)
Qatar,QAT,row,Majority World (MW)
Republic of Korea,KOR,row,Majority World (MW)
Republic of Moldova,MDA,row,Majority World (MW)
Reunion,REU,row,Majority World (MW)
Romania,ROU,eu30,Europe (EU30)
Russian Federation,RUS,row,Majority World (MW)
Rwanda,RWA,row,Majority World (MW)
Saint Barthelemy,BLM,row,Majority World (MW)
Saint Helena,SHN,row,Majority World (MW)
Saint Kitts and Nevis,KNA,row,Majority World (MW)
Saint Lucia,LCA,row,Majority World (MW)
Saint Martin (French part),MAF,row,Majority World (MW)
Saint Pierre and Miquelon,SPM,row,Majority World (MW)
Saint Vincent and the Grenadines,VCT,row,Majority World (MW)
Samoa,WSM,row,Majority World (MW)
San Marino,SMR,row,Majority World (MW)
Sao Tome and Principe,STP,row,Majority World (MW)
Saudi Arabia,SAU,row,Majority World (MW)
Senegal,SEN,row,Majority World (MW)
Serbia,SRB,row,Majority World (MW)
Seychelles,SYC,row,Majority World (MW)
Sierra Leone,SLE,row,Majority World (MW)
Singapore,SGP,row,Majority World (MW)
Sint Maarten (Dutch part),SXM,row,Majority World (MW)
Slovakia,SVK,eu30,Europe (EU30)
Slovenia,SVN,eu30,Europe (EU30)
Solomon Islands,SLB,row,Majority World (MW)
Somalia,SOM,row,Majority World (MW)
South Africa,ZAF,row,Majority World (MW)
South Georgia and the South Sandwich Islands,SGS,row,Majority World (MW)
South Sudan,SSD,row,Majority World (MW)
Spain,ESP,eu30,Europe (EU30)
Sri Lanka,LKA,row,Majority World (MW)
Sudan,SDN,row,Majority World (MW)
Suriname,SUR,row,Majority World (MW)
Svalbard and Jan Mayen,SJM,row,Majority World (MW)
Swaziland,SWZ,row,Majority World (MW)
Sweden,SWE,eu30,Europe (EU30)
Switzerland,CHE,eu30,Europe (EU30)
Syrian Arab Republic,SYR,row,Majority World (MW)
Taiwan,TWN,row,Majority World (MW)
Tajikistan,TJK,row,Majority World (MW)
Thailand,THA,row,Majority World (MW)
Timor-Leste,TLS,row,Majority World (MW)
Togo,TGO,row,Majority World (MW)
Tokelau,TKL,row,Majority World (MW)
Tonga,TON,row,Majority World (MW)
Trinidad and Tobago,TTO,row,Majority World (MW)
Tunisia,TUN,row,Majority World (MW)
Turkey,TUR,row,Majority World (MW)
Turkmenistan,TKM,row,Majority World (MW)
Turks and Caicos Islands,TCA,row,Majority World (MW)
Tuvalu,TUV,row,Majority World (MW)
Uganda,UGA,row,Majority World (MW)
Ukraine,UKR,row,Majority World (MW)
United Arab Emirates,ARE,row,Majority World (MW)
United Kingdom,GBR,eu30,Europe (EU30)
United Republic of Tanzania,TZA,row,Majority World (MW)
United States Minor Outlying Islands,UMI,row,Majority World (MW)
United States of America,USA,nafta,North America (NA)
United States Virgin Islands,VIR,row,Majority World (MW)
Uruguay,URY,row,Majority World (MW)
Uzbekistan,UZB,row,Majority World (MW)
Vanuatu,VUT,row,Majority World (MW)
Venezuela (Bolivarian Republic of),VEN,row,Majority World (MW)
Viet Nam,VNM,row,Majority World (MW)
Virgin Islands (British),VGB,row,Majority World (MW)
Wallis and Futuna,WLF,row,Majority World (MW)
Western Sahara,ESH,row,Majority World (MW)
Yemen,YEM,row,Majority World (MW)
Zambia,ZMB,row,Majority World (MW)
Zimbabwe,ZWE,row,Majority World (MW)
